separate by |",separate by |,Could be done programmatically,,,,,Working notes,
original-fr 640-spelling,alternate-spellings,meaning-number,meaning,language-dialect-of-origin,"Modern form or spelling, even if meaning has changed","Part of speech (n., v., adj., adv.)",Reference or further notes,Reference link,Annotation id,"Questions, observations, examples, references",Folio,Entry ID,Entry heading,Synonym in this glossary,Antonym in this glossary,"""See also"" - other entry",Convert to editorial comment (or pull out partial comment) - Y / N,Editors notes,Uncertain
"Pourpre, couleur de",,,color purple,,,n.(m),,,,,,,,,,,,,
Pourtraict,,,"portrait, picture",,portrait,n.(m),,,,,,p060v_4,,,,,,,
Portraire,,,"drawing, portraying or depicting",,pourtraire,v.,,,,,,p062r_4,,,,,,,
Poudre grené,,,great grain powder (for a cannon),,,n.(f),Cot,,,,167r,,,,,,,,
Pratiquer,,,to put in use,,,v.,,,,,139r,,,,,,,,
Prêle,,,"horsetail reed, used by the a-p to polish",,,n.(f),Cot,,,,,,,,,,,,
Presse,,,press,,,n.(f),,,,,,,,,,,,,
Prester,,,to be malleable,,,v.,,,,,29r | 114r,,,,,,,,
Principal,,,"principal part, bit or thing. Mostly used when the a-p discusses the decorative or most detailed side of an object, animal or plant that is about to be molded or cast",,,adj.,,,,,,,,,,,,,
Prinquer,,,"to prick, leaving a mark on marble with a knife",poitevin,piquer,v.,"Beauchet-Filleau, Essai sur le patois poitevin ou Petit glossaire de quelques-uns des mots usités dans le canton de Chef-Boutonne et les communes voisines, Niort/Melle, 1864, p. 211.",,,,056v,,,,,,,,
"Prinse, faire",,1,"to set, of plaster, cement and the like",,,v.,,,,,,,,,,,,,
,,2,to hold together,,,v.,,,,,121r,,,,,,,,
Priver,,,"to rid of something (humidity, dust)",,,v.,,,,,118v | 121r,,,,,,,,
Promptement,,,promptly,,,adv.,,,,,156r,,,,,,,,
Propre,,,"appropriate, suitable",,,adj.,DMF,,,,,p088r_1,,,,,,,
Proprement,,,"readily, properly, aptly",,,adv.,,,,,,,,,,,,,
Prouver,,,to prove,,,v.,Cot,,,,,p059v_4,,,,,,,
Pulverin,,,fine powder used for priming a gun,,,n.(m),,,,,,,,,,,,,
Purger,,,see repurger,,,v.,,,,,,,,,,,,,
Purpurine,,,"aurum musivum, aurum mosaicum, a mixture of tin, sulfur, mercury and sal ammoniac",,,n.(f),,,,,43r,,,,,,,,
Puys rodier,,,type of wll operated with one or more wheels,occitan,,n.(m),,https://books.google.com/books?id=245NAAAAcAAJ&lpg=PA580&ots=ohaHaR4Uk-&dq=%22puis%20rodier%22&pg=PA580#v=onepage&q=%22puis%20rodier%22&f=false,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Q,,,,,,,,,,,,,,,,,,,
Qualibre,,,caliber,,calibre,n.(m),,,,,,p019r_1,,,,,,,
Quarteron,,,quarter pound,,,n.(m),Cot,,,,,p097r_2,,,,,,,
Quenouille de lit,,,bedpost,,,n.(f),Cot,,,,,p025v_1,,,,,,,
Queue,,1,tail of an animal,,,n.(f),,,,,,,,,,,,,
,,2,gate of a mold,,,n.(f),,,,,,,,,,gect,,,
,,3,stalk of a flower,,,n.(m),,,,,122r,,,,,,,,
Queue de l'espee,,,tail,,,n.(f),,,,,,p094r_1,,,,,,,
Queue de pourceau,queue de pourrcealx,,"hog's fennel, not to confuse with the stalks of hog's fennel",,,n.(f),"Dictionnaire raisonné universel d’histoire naturelle, vol. 2 (Paris: chez Lacombe, 1769), p. 465",,,,,,,,,,,,
Queux,,,see Coux,,,,,,,,,,,,,,,,
Quintal,,,"hundredweight, 100 pounds",,,n.(m),Cot,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
R,,,,,,,,,,,,,,,,,,,
Rabot,,,"joiner's plane, not to be confused with plane",,,n.(m),Cot,,,,,p094r_1,,,,,,,
Rachault,rechault,1,chafing-dish,,réchaud,n.(m),,,,,,,,,,,,,
,,2,embers,,,n.(m),Cot,,,,071v,,,,,,,,
Racler,,,to scrape,,,v.,,,,,,,,,,,,,
Raclouer,,,scraper,,,n.(m),,,,,139r,,,,,,,,
Racoustrer,,,"to mend, not to be confused with reparer",,raccoutrer,v.,Cot,,,,,,,,,,,,
"Raison, livre de",,,see livre de raison,,,n.(m),,,,,,,,,,,,,
Rang,,,"rank, of cavalry",,,n.(m),,,,,,,,,,,,,
Ranunculus,,,"buttercup, ranunculus repens",latin,,n.(m),,,,,121r,,,,,,,,
Rappe,,,"pomace, the grape skins, stems, etc. left over after pressing",,râpe,n.(m),,,,,,,,,,,,,
Raporter,,,"to join, to assemble",,rapporter,v. ,Cot,,,,,,,,,,,,
Rare,,,rarefied,,,adj.,OED,,,,,,,,,,,,
Rat liron,,,see furetière,,loir,n.(m),,,,,,,,,,,,,
Ratisseure,,,scrapings,,ratissure,n.(f),Cot,,,,,,,,,,,,
Realgar,,,"realgar, an arsenal sulphide mineral, also known as ""ruby sulphur,"" or ""ruby of arsenic""",,,n.(m),Cot | DAF,,,,,,,,,,,,
Realle,,,"real, a currency unit",,,n.(m),,,,,,,,,,,,,
Rechief,,,see de rechief,,,adv.,,,,,,,,,,,,,
Recuire,,1,"to tranform again by the action of heat. In f.111r, the author defines ""recuire"" as the process of turning a mold red for the second time (“Faire pour la seconde fois rougir”). He contrasts this process to drying (“desseicher”) metals. Similarly, on a margin note of f.118v, “recuire” is defined as “turning a frame red,” a process similar to what “is done for gold and silver.”",,,v.,,,,,111r | 118v,,,,,,,,
Recuire,,2,"While the a-p aften uses “recuire” in its generic meaning (i.e., to put again something to the fire), the 9th edition of the DAF specifies that the verb is also employed in many arts to designate a specific heating treatment which craftsmen use in order to “perfect their craft” or “make it more durable.” Goldsmiths, for example, restitute the desired malleability and ductility of their objects by reheating or annealing them. Glassblowers use a special furnace to reheat the glass lest it shatters. This process can be translated in English as “annealing” or “tempering,” according to the context. (See Ashbee’s translations of “ricuocere” in Benevenuto Cellini’s Two Treatises.)",,,v.,DAF | Cellini,,,,,,,,,,,,
Recuire,,3,"While a “brique recuite” is a refired brick, on 94r, it is probably being used to mean “annealed iron wire”. ",,,v.,,,,,94r,,,,,,,,
Recuire,,4,"“Recuire can be contrasted to “cuire,” which is mostly used in the context of food preparation, the verb “cuire” refers more broadly to the transformation of an object by the action of heat. Similarly, “chauffer” means to increase an object’s temperature, but not necessarily to transform it by the action of heat.",,,v.,,,,,,,,,,,,,
Reduire,,,to reduce,,réduire,v.,,,,,,,,,,,,,
Refort,,,horseradish,,raifort,n.(m),TLF,,,,,p055v_2,,,,,,,
Refoulement,,,ramming in,,,n.(m),Cot,,,,018r,,,,,,,,
Refouler,,,to ram in,,,v.,Cot,,,,018r,,,,,,,,
Refoulouer,,,rammer,,refouloir,,,,,,025r,,,,,,,,
Regulus,,,"regulus, according to OED: metal separated from a mineral or ore by smelting or reduction, as the first stage of purification",latin,régule,n.(m),OED,,,,,,,,,,,,
Relief,,,relief,,,n.(m),,,,,,,,,,,,,
Relief entier,,,high relief,,,n.(m),Better source?,,,,042r,,,,,,,,
Refaire,,,to make anew,,,v.,,,,,099r,,,,,,,,
Remectre,,,to repair,,remettre,v.,,,,,,,,,,,,,
Remouldre,,,to grind again,,remoudre,v.,Cot,,,,020r,,,,,,,,
Rendre,,,to render,,,v. ,,,,,,,,,,,,,
Renfoncement,,,"shadows, in painting",,,n.(m),Cot,,,,,,,,,,,,
Renfondrement,,,darkening,,,n.(m),Cot,,,,,p031v_1,,,,,,,
Reparer,,,to repair the surface of a cast,,,v.,,,,,163v,,,,,ciseler,,,
Repousser,,,to push back,,,v.,,,,,,,,,,,,,
Representer,,1,to represent,,,v.,,,,,,,,,,,,,
,,2,to reflect in a mirror,,,v.,,,,,005v,,,,,,,,
Residence,,,residue,,,n.(f),DMF,,,,,,,,,,,,
Resine,rousine,,resin,,résine,n.(f),,,,,,,,,,colophoine,,,x
Ressuivre,,,to retrace (to follow an existing line with another medium),,,v.,,,,,,,,,,,,,
Ret,,,net,,rets,n.(m),Cot,,,,,p054v_1,,,,,,,
Retailleure,,,shreds,,,n.(f),Cot,,,,,,,,,,,,
Retirer,,,"to extract, of pigments",,,v.,,,,,011r,,,,,,,,
Retirer à,,,to resemble,,,v.,Cot,,,,066r,,,,,,,,
"Retirer, faire",,1,to take away or remove something from something else,,,v.,,,,,129v,,,,,,,,
,,2,to contract,,,v.,,,,,,,,,,,,,
Retirements,,,nooks,,,n.(m),,,,,130v,,,,,,,,
Reverberation,,,"reverberation. In a furnace using reflected heat (four à reverberation), the fire is separated from the hearth and the air reverberates throught the chamber, in order to get the chamber hotter while avoiding the material to catch fire",,,n.(f),,,,,012r,,,,,,,,x
Revirer,,,to rotate,,,v.,Cot,,,,096v,,,,,,,,
Rhubarbe de moynes,,,"monk's rhubarb, Rumex alpinus, Alpine dock ",,,n.(f),,http://www.florealpes.com/fiche_rumexalpes.php,,,,,,,,lapathium acutum | vinette,,,
Riveure,ribeure,,tang,,rivure,n.(f),,,,,094_1,,,,,,,,
Rocaille,roquaille,,"rocaille (in Ms. Fr. 640, this refers to small glass beads which may or may not be colored",,,n.(f),Cot | DMF,,,,032v | 37v,,,,,,,,
Rogner,rongner,,to pare,,,v.,Cot,,,,,,,,,,,,
Roide,,,"rigid, vigorous, of a fire.",,raide,adj.,DMF,,,,,,,,,,,,
Roidement,,,"steadily, constantly",,,adv.,Cot,,,,,p017r_1,,,,,,,
Rondeur,,,circumference,,,n.(f),"1559 edition of Vitruvius, by Jean Gardet and Dominique Bertin, uses “rondeur” in text and “circumference” in margin, p. 233.
",,,,,,,,,,,,
Roration,,,bedewing,,,n.(f),OED,,,,161v,,,,,,,,
Rose alexandrine,,,"?, a pink made with materials thought to have come from Alexandria. Perhaps Alexandrine ruby found on the banks of the Nile.",,,n.(f),,,,,,,,,,,,,x
Rosette,,1,"a type of copper having a characteristic reddish colour. According to Cot: ""that comes out of Hungary in round plates""",,,n.(f),DLF | OED | Cot,,,,,,,,,cuivre franc,,,
Rosette,,2,"a color metal, vermillion",,,n.(f),Cot | PG,https://drive.google.com/#folders/0BwJi-u8sfkVDelpQb3J4QkVyTkU,,,,,,,,,,,
Rostie,,,toast,,rôtie,adj.,DMF,,,,,,,,,,,,
Rouer,,,to roll,,,v.,DMF,,,,,,,,,,,,
Rouge clair,rouge cler,,a method of enamelling red glass on gold,,,adj.,,,,,006v | 040v | 029v | 157r,p029v_6,,,,,,,
Rouge en corps,,,"red in body, probably in the sense of opaque red",,,adj.,,,,,,,,,,,,,x
Rousine,,,see Resine,,,n.(f),,,,,,,,,,,,,
Roussir,,,to wax red,,,v.,Cot,,,,,,,,,,,,
Rude,,,"rough, of sand",,,,,,,check other meanings,153v,,,,doulx,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
S,,,,,,,,,,,,,,,,,,,
Saba,,,sap,occitan,sève,n.(f),,http://www.micmap.org/dicfro/search/littre/s%C3%A9ve,,,087v,,,,,,,,
Sable,,,"sand, powders of various sorts used in sand casting",,,n.(m),,,,,,,,,,,,,
Sablonneulx,,,sandy,,sablonneux,adj.,,,,,,,,,,,,,
Sablon,,,"sand bank or sand gravel, tyope of geological formation where one finds a deposit or concentration of gravel and sand usually due to erosion",,,n.(m),,,,,,p026r_1,,,,,,,
Safran,,,saffron,,,,,,,,,,,,,crocum,,,
Safre,,,"cobalt oxide of a blue color sometimes used for making cobalt glass, a blue sapphire glass that was ground to make smalt, used as a pigment",,,n.(m),,,,,011r,,,,,,,,
Sainct Michel,,,michelmas (29 September),,,,,,,,,,,,,,,,
Sal gemme,,,rock salt,,sel gemme,n.(m),,,,,,,,,,,,,
Salicor,,,saltworth,,,n.(m),Cot,,,,,,,,,,,,
Salpestre,,,saltpeter,,salpêtre,n.(m),,,,,,,,,,,,,
Salve,,,salvo,,,n.(f),OED,,,,,,,,,,,,
Sandal,,,"sandalwood, saunder",,,n.(m),Cot,,,,,,,,,,,,
Sandrax,,,"sandarac, a hard resin from a conifer tree in Algeria, used to varnish making and pharmacy",,,n.(m),PG,,,,,,,,,,,,
Sang de dragon,,,"dragon's blood, juice from the dragon tree taken in the Dog Days, also the herb called blood wort",,,n.(m),Cot | PG,,,,,,,,,,,,
Sanguine,,1,"sanguine, earth pigment of a hue ranging from brown to red",,,n.(f),,,,,,,,,,,,,
,,2,bloodstone,,,n.(f),Cot | OED,,,,,,,,,,,,
Santonique,,,wormseed?,,,n.(f),Cot | DMF,,,,129r,,,,,,,,x
Sarment,,,vine shoot,,,n.(m),,,,,,,,,,,,,
Sarrasine,,,portcullis,,,n.(f),TLF,,,,,,,,,,,,
Sarrer,serrer,,"to close, to hold, of sand encasing a flower",,serrer,v. ,,,,,122r | 121r,,,,,,,,
Saulce,,,mixture,,sauce,n.(f),,,,,,p104r_3,,,,,,,
Saulcice,saulsisse,,a cloth filled with powder used to charge and fire a mortar,,saucisse,n.(f),"Montesson, Vocabulaire de Guerre, vols. 1 & 2, 1783 and Neaulme, Memoires d’artillerie, vol. 1, 1741",,,,023r | 023v,,,,,,,,
Saulmon,,,"large ingot or mass of raw, unprocessed metal straight from the furnace",,saumon,n.(m),DMF,,,,030r,,,,,latte | grille,,,
Saulpoudrer,,,to sprinkle,,saupoudrer,v. ,,,,,015r,,,,,,,,
Sautiller,,,"to quiver, on melted silver",,,v. ,,,,,,p165v_5,,,,,,,
Save,seve,,sap of trees,,sève,n.(f),,,,,,,,,,,,,
Sayette,,,"small bristle brush, used by goldsmiths. Not to be confused with the fabric or garnment of the same name",,,n.(f),TLF,,,,,,,,,,,,
Scribe,,,scribe,,,n.(m),,,,,,,,,,,,,x
Scudegrun,,german,"stil de grain yellow, pigment made from the sap of weld and chalk",,Schüttgelb,n.(m),,,,,,,,,,,,,
Senegre,,,"fenugreek, popular name for the plant also known in French as fenugrec",,senègre,n.(m),DLF,,,,,,,,,,,,
Sel alchali,,,alkali salt,,,,,,,,,,,,,,,,
Sel armoniac,,,"sal ammoniac, ammonium chloride, NH4CI",,Sel ammoniaque,n.(m),Cot | PG,,,,,,,,,,,,
Sel blanc,,,,,,n.(m),,,,,,p052v_2,,,,,,,x
Sel de verre,,,,,,n.(m),,,,,,,,,,,,,x
Sel gemme,,,rock salt,,,n.(m),,,,,,,,,,,,,
Sel de Langlois,,,,,,n.(m),,,,,,,,,,,,,x
Sel de salicor,,,salt of saltwort,,,n.(m),Cot,,,,068r,,,,,,,,
Sel de tartre,,,salt of tartar,,,n.(m),,,,,,,,,,tarte,,,
Semblable,,,suchlike,,,adj.,,,,,,,,,,,,,
Semal,,,bin used to carry the harvest ?,,,n.(m),Glossaire de la langue romane (de Roquefort),https://books.google.com/books?id=gwdEAAAAcAAJ&pg=PA535&lpg=PA535&dq=%22semal%22+%22vaisseau%22&source=bl&ots=2oW7Nc821Y&sig=h6lou5b4XP6uMjMcR12vDiNCcsQ&hl=en&sa=X&ei=xYKtU8_3LaassQTe-YGIAw&ved=0CEMQ6AEwBQ#v=onepage&q=%22semal%22%20%22vaisseau%22&f=false,,,,,,,,,,,
Semer,,1,to sow,,,v.,,,,,,,,,,,,,
,,2,"to disseminate, more densely than saulpoudrer",,,v.,,,,,057r,,,,,saulpoudrer,,,
Serain,,1,cool and humid evening air,,serein,n.(m),Cot,,,,029r,,,,,,,,
,,2,"of weather, clear or windless",,serein,adj.,,,,,,,,,,,,,
Sernaille,,,sand lizard (lacerta agilis),occitan,,n.(f),"Moreux & Razou, Les mots de Toulouse, p. 516",https://books.google.fr/books?hl=fr&id=gktdAAAAMAAJ&dq=inauthor%3A%22Bernard+Moreux%22&focus=searchwithinvolume&q=sarnaille,,,,,,,,,,,
Seringue,,,syringe,,,n.(f),,,,,086v,,,,,,,"THU: this is confusing. ""potin de seringue"" = metal alloy from syringes. What might that even mean? It has been left in <fr> tags.",
Setier,,,"a measure for diverse things, according to Cot, and therefore of diverse sizes. Physicians used the smallest, 3 ounces",,sestier,n.(m),Cot,,,,,,,,,,,,
S'estonner,,,to shake loose,,,,,,,,,,,,,,,,
Sinapisé,,,mustard plaster,,sinapisme,n.(m),Cot,,,,120v,,,,,,,,
Sol,,1,gold,,,,,,,"on p166v, author uses “sol” (Latin for sun) for gold instead of the symbols ☉ or ☼.",166v,,,,,,,,
,,2,"currency unit, 12 deniers and 1/20 of a livre. Abbreviated ""s.""",,sou,,OED,,,,,,,,,,,,
,,3,"sole, the base or floor of a furnace",,,n.(f),,,,,109r,p052v_2,,,,,,,
Solle,,,"maybe sol blanc, a mineral mined in Mansfeld, or salt, or perhaps sel ammoniac",,,n.(f),,,,,,p075r_4,,,,,,,
Soliveau,,,joist,,,n.(m),,,,,,,,,,,,,
Son,,,bran,,,n.(m),Cot,,,,016v | 037r | 073r,,,,,,,,
Sonnant,,,"sonorous, of metal",,,adj.,,,,,008v,,,,,,,,
Sophistiqué,,,adulterated,,,p.p.,Cot | DMF,,,,128r,p029v_6,,,,,,,
Sophistiqueur,,,"sophisticator, one who adulterates a material",,,n.(m),Cot | DMF,,,,013v,,,,,,,,
Soubdain,,,"immediately, quickly",,soudain,adv.,,,,,,,,,,,,,
Souffler,soufler,,to blow,,souffler,v.,,,,,,,,,,,,,
,,,"to become porous, to fill with bubbles. In the context of casting, for example, when gases are mixed in and make the cast porous and therefore brittle",,souffler,v.,,,,,113r | 145v | 146r,,,,,,,,
Soufflet ,souflet,,bellows,,soufflet,n.(m),,,,,,,,,,,,,
Souffre vif,,,"natural sulfur, also known as ""virgin sulfur""",,soufre vif,n.(m),DLF | Cot,,,,,,,,,,,,
Soulcy,soulcis | solcy,,marigold,,souci,n.(m),,,,,159v,,,,,,,,
Souldure,,,solder,,soudure,n.(f),,,,,,,,,,,,,
Sourd,,,"dull, of metal",,,adj.,,,,,008v,,,,,,,,
Sourdis,,,any welling-up of water,,,n.(m),LAF | DMF,,,,137r,,,,,,,,
Souspirail,,,vent,,soupirail,n.(m),,,,,,,,,,,,,
Soye,,,"white powder, perhaps feldspar, or zinc, or a zinc alloy, also render as spelter in some dictionaries",german,soie,n.(m),,,,,108r | 119r,,,,,,,,
Spat,,,the a-p uses spat,,,,,,,,,,,,,,,,
Spatule,,,spatula,,,n.(f),,,,,,,,palette,,,,,x
Spongieulx,,,spongy,,,adj.,,,,,,,,,,,,,
Staphisagrie,staphisaigre,,stavesacre,,,n.(f),Cot,,,,,p104v_1,,,,,,,
Stuc,,,stucco,,,n.(m),,,,,012v,,,,,,,,
Stuf,,,"a kind of granular limestone, or tufa",german,,n.(m),"TLF | Englisch-Deutsches und Deutsch-Englisches Wörterbuch: Englisch - Deutsch. Volume 1, Issue 2. (Schünemann, 1856), 1686. ",,,,118r,,,,,,,,
Sublimé,,,"sublimate, a material that has been sublimed (heated into a vapor, then condensed or precipitated)",,,n.(m),,,,,,,,,,,,,
Substance,,,substance,,,n.(f),,,,,,,,,,,,,
"Substance, prendre de la",,,"to take of the substance, of a copper mortar, for example.",,,n.(f),,,,,100v,,,,,,,,
Subtil,,,delicate,,,adj.,,,,,,,,,,subtilier,,,x
Subtilier,,1,"to grind finely, or to make thinner",,,v.,,,,,,,,,,,,,
,,2,disintegrate,,,v.,,,,,127r,,,,,,,,
Suffocation de la matrix,,,"“suffocation of the matrix,” medical term used to designate female hysteria.",,,n.(f),DMF,,,,,p007v_2,,,,,,,
Suin,suint,,fat,,,n.(m),,,,,,,,,,,,,
Suin de pourceau,,,pork fat,,,n.(m),,,,,,,,,,,,,
Suin de verre,,,"sandever, also called ""glass gall"" is, according to Cot: ""the fattie substance floating on glasse when it is red-hot in the furnace, and which being cold is as hard as stone, yet brittle, and easily broken.""",,,n.(m),Cot | Enc | DSA,https://books.google.com/books?id=NudlvCuktwIC&pg=PA461&dq=%22Suint+de+verre%22&hl=fr&sa=X&ved=0ahUKEwi4--aDpdriAhVwQt8KHe_MDY0Q6AEIKDAA#v=onepage&q=%22Suint%20de%20verre%22&f=false,,,,,,,,,,,
Super,,,to drink,,,v.,,,,,126r | 138r,,,,,,,,
Superficie,superfice,,surface,,,n.(f),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
T,,,,,,,,,,,,,,,,,,,
Table de verre,,,slab of glass for crushing colors,,,n.(f),,,,,,p061v_4,,,,,,,
Tableau,,,"panel, a painting on wood and usually not on canvas",,,n.(m),,,,,,,,,,,,,
Taffre,,,"taffer, pigment ""usually obtained by roasting cobalt glance, white sand, or quartz, as a dark earthy powder. It consists of crude cobalt oxide, or of any impure cobalt arseniate. It is used in porcelain painting, and in enameling pottery, to produce a blue color, and is often combined with smalt, from which however, it is distinct, as it contains no potash""",,,n.(m),"Cot | Stoll & Swanbeck, The Knowledge of Wares, 1893, p. 337",https://books.google.com/books?id=dqLVAAAAMAAJ&pg=PA337&lpg=PA337&dq=taffre+pigment&source=bl&ots=uPvKdV3xyh&sig=wcwJNVIHqPZOaIkpd1zP_zuJc1U&hl=en&sa=X&ved=0ahUKEwiuw4vco77NAhXCGT4KHe-iBjIQ6AEIMTAC#v=onepage&q=taffer&f=false,,,,,,,,,,,
Tailler,,1,to cut (gemstones),,,v.,,,,,,,,,,,,,
,,2,to carve (figures in a seal),,,v.,,,,,042r,,,,,,,,
,,3,to engrave ,,,v.,,,,,156r,,,,,,,,
Taille-basse,,,"basse-taille, an enamelling technique",,,n.(f),,,,,,,,,,,,,
Taille doulce,,,copper engraving,,taille-douce,n.(f),,,,,,,,,,,,,
Taincture,,,"color, dye or tincture, depending on context",,teinture,n.(f),,,,,,p031r_2,,,,,,,
Haulte taincture,,,deep tincture,,,n.(f),,,,,,,,,,,,,
Talc,,,"talc ot talcum, a green-to-gray, soft mineral, hydrous magnesium silicate
",,,n.(m),,,,,,,,,,,,,x
Talon,,,ricasso of a sword,,,n.(m),,,,,,p094r_1,,,,,,,
Talluer,,,"to taper, to make tapering, of a wall",,taluter,v.,Cot | OED,,,,,,,,,,,,
Tamis,,,sieve,,,n.(m),,,,,,,,,,,,,
Tamiser,,,"to sieve, for dry ingredients and to strain for wet ingredients",,,v.,,,,,,,,,,,,,
Tanvre,,,thin,,,adj.,,,,,,,,,,,,,
Tant y a,,,in any event ,,,phr.,,,,,047v,,,,,,,,
Tapir,,,to tamp down,,,v.,,,,,,,,,,,,,
Tapon,,,"stopple, stopper",,,n.(m),Cot,,,,,,,,,,,,
Tapisser,,,to hang on,,,v.,Cot,,,,,,,,,,,,
Taraire,,,auger,,,n.(m),Cot,,,,168v,,,,,,,,
Tartre,,,tartar,,,n.(m),,,,,,,,,,sel de tartre,,,
Tellier,,,loom,,,n.(m),DMF,,,,,,,,,,,,
Teline,,,"tellin, any marine bivalve mollusk of the genus Tellina.",,,n.(f),DLF | OED,,,,,,,,,,,,
Tenaille,,,pincers,,,n.(f),Cot,,,,,,,,,,,,
Tendre,,1,delicate,,,adj.,Cot,,,,,p041v_1,,,,,,,
,,2,"soft ?, of lead",,,adj.,,,,,156r,,,,,,,,x
Terre,,,earth ,,,n.(f),,,,,,,,,,,,,
Terre bolvene,,,boulbène earth,,terre boulbène,n.(f),,,,,,,,,,,,,
Terre bourre,,,"founder's earth, an earth used by bell founders, a mixture of reclaimed material from used molds, new sand, clay, manure, hair, and brick dust.",,,n.(f),,,,,,,,,,terre des fondeurs,,"Mentioned as “fatty earth” on 77r, and “earth used by founders” on 107r.",
Terre des fondeurs,,,founders’ earth,,,n.(f),,,,,127r | 127v,,,,,terre bourre,,,
Terre fiens,,,earth with dung,,,n.(f),,,,,123r,,,,,fiens,,,
Terra merita,,,turmeric,latin,curcuma,n.(f),"Jacques Dalechamps, Histoire generale des plantes (1653): 679.",http://gallica.bnf.fr/ark:/12148/bpt6k5408308s,,,,,,,,,,,
Terre d'ombre,terre d'umbre,,"umber, yellow brown pigment containing iron oxide, earth from Umbria",,terre d'ombre,n.(f),GMC,,,,066r,,,,,,,,
Terre de parayre,,,"fuller’s earth, a fine clay used in finishing cloth",,,n.(f),,,,,,,,,,parayre,,,
Terrine,,,presumably a specific shape or kind of dish,,,n.(f),,,,,,,,,,,,,
Teste,,,head,,tête,n.(f),,,,,122r,,,,,,,,
Teston,,1,nipple,,,n.(m),Cot,,,,005v,,,,,,,,
,,2,"teston, silver coin worth 18 d. sterling",,,n.(m),Cot,,,,,,,,,,,,
Theriaque,,,"theriac,  a medicine made by mixing several ingredients such as plants or animal parts",,,n.(f),,,,,,,,,,,,,
Tine,,,open tub,,,n.(f),Cot,,,,,p054v_1,,,,,,,
Tirer sur,,,"to verge on, of colors",,,v. ,,,,,,,,,,,,,
Tirer,,,to fire a shot,,,v.,,,,,,,,,,,,,
Tisane,,,infusion of herbs,,,n.(f),Cot | DMF,,,,118v,,,,,,,,
Toile,,,canvas,,,n.(f),,,,,,,,,,,,,
Tondure,,,cloth waste,,,n.(f),DLF,,,,,,,,,,,,
Torteau,,,"cake, a firmly pressed ball or slab",,tourteau,n.(m),Cot | DMF,,,,,p029v_6,,,,tourtelle,,,
Toucher,,,"to touch, to handle, ",,,v.,Cot,,,,,,,,,,,,
Tourmentine,,,turpentine,,,n.(f),,,,,,,,,,,,,
Tourillon,,,"An inner verrill; the round plate of iron whereby a piece of wood, often turned on, is preserved from wearing, and burning",,,n.(m),Cot,,,,,,,,,,,,x
Tournoyer,,,to swirl,,,v.,,,,,,,,,,,,,
Tourtelle,,,"cake, a firmly pressed ball or slab",poitevin,tourteau,n.(f),,,,,,,,,,torteau,,,
Traict,,,feature of a work,,trait,n.(m),,,,,117v | 132r | 156r,,,,,,,,
"Traict, donner",,,"to give form, to a fly’s leg",,,vp.,,,,,151v,,,,,,,,
Trancheplume,trencheplume,,pen-knife,,,n.(m),,,,,,,,,,,,,
Trasser,,,"to trace, to delineate",,,v.,,,,,039v,,,,,,,,
"Travers, de",,,"crosswise, used to qualify molding and casting. Seems to refer to a technique of orienting the gate in a mold, characteristic of metalworkers in Foix",,,adv.,,,,,,p143r_2 | 90r_2,,,,,,,
Trébuchet,,,"word with many meanings, from bird cage to small scale used to weight coins",,,n.(m),,,,,072r,,,,,,,,
Trepan,,,trepan,,trépan,n.(m),,,,,,,,,,,,,
Triboulet,,,"triblet,  a disc on which goldsmiths set rings or other round objects to file or work them",,,n.(m),Cot,,,,,,,,,,,,
Tripoli,tripoly,,"tripoli, silica stone, the powder of which is used to polish metals and glass",,,n.(m),Cot | DLF,,,,,,,,,,,,
Trusseau,,,strickle,,,n.(m),,,,,,,,,,,,,
Trempe,,1,"tempering,  if used as a noun denoting the process of quenching a heated metal in a liquid",,,n.(f),,,,,,,,,,,,,
,,2,"tempering bath, if used as a noun denoting the liquid used for quenching",,,n.(f),,,,,,p056r_1,,,,,,,
Trempe pendant longtemps,,,soak for a long timne,,,v.,,,,,,,,,,,,,
Tremper,,,"to temper,  if used to denote the overall process of tempering metal; to quench if it only denotes the quenching part of that process",,,v.,,,,,,,,,,,,,
Tremper a pacquet,,,"process of hardening metal of tools, e.g. files",,,v.,DLF,http://www.littre.org/definition/trempe#var3,,,,p067v_1,,,,,,,
Trusseaux,,,"type of mold.  Cot calls a “trousseau” a “trussell,”or, the upper iron, or mold, used in stamping a coin",,,n.(m),Cot,,,,142v,,,,,,,,
Tuelle,,,"the opening at the bottom of the furnace or kiln, through which the bellows’ pipes are inserted",,,n.(f),,,,,016r | 109r,,,,,,,,
Tuf,,,white sand,,,n.(m),Cot,,,,,,,,,,,,
Turquine,,,"means dark blue, but this loses the turkish quality. Cannot be translated as turquoise, which is a different chemical.",,,n.(f),DMF,,,,,,,,,,,,
Turquin,,,a bluish gray,,,adj.,,,,,,,,,,,,,
Tuyau,,1,"quill or pipe, in the sense of a ferule",,,n.(m),,,,,067r,,,,,,,,
