folio	div_id	heading_tc	heading_tcn	heading_tl	categories	margin	has_figures	continued	continues	al	bp	cn	env	m	ms	pa	pl	pn	pro	sn	tl	md	mu	df	wp
058v	p058v_4	Azur	Azur	Azure	painting							sols		Azur;huile de tourmentine;huile de grene de palma christi;huile de noix;azur;huile gras;azur desmail;eau;huile	pinte	palma christi;noix	flandres								
058v	p058v_5	Pinceaulx	Pinceaulx	Paintbrushes	painting			continued		porc espic;gris;rats;rats lirons;fouines;bellettes	main			huile daspic;huile de noix;aspic;eau;plumes de porc espic;boys de flesches de turquie;boys;poil de queue de gris;barbes des plus vieulx rats;plume;poils;barbe des fouines & bellettes & petits animaulx qui font le musc;musc;poil		aspic;noix	turquie				Pinceaulx;manche des pinceaulx;vergettes pour sapuyer la main quand ilz paignent;pinceaulx fort delies qui ayent la poincte ferme;pinceau;plume				
059r	p058v_5				painting				continues					laque;blanc de plomb;ceruse;huile;azur;cendre;azur dacre;azur desmail;tourmentine;huile de noix		noix	acre				pinceau;pallete;poincte dun costeau				
059r	p059r_1	Ombres	Ombres	Shadows	painting		CONTAINS FIGURE							vernis			italiens								
059r	p059r_2	Azur	Azur	Azure	varnish;painting									Azur;asur;huile de noix;huile daspic;azur desmail;huile;eau		noix;aspic					pinceau				
059v	p059v_1	Noir Paincture darmes	Noir Paincture d’armes	Black Painting of armor	painting									noir de charbon;blanc de plomb;azur											
059v	p059v_2	Paincture de crespe	Paincture de crespe	Painting of crêpe	painting									crespe;noir de charbon;blanc de plomb;asur											
059v	p059v_3	Plis de vestements	Plis de vestements	Folds in clothing	painting									gros drap;taffetas;draps de soye;crespe											
059v	p059v_4	Desiccatif	Desiccatif	Desiccative	painting									blanc de plomb;massicot;huile	jours;jour										
059v	p059v_5	Double couche	Double couche	Double layers	painting									azurs											
059v	p059v_6	Racoustrer les fentes dun tableau	Racoustrer les fentes d’un tableau	Mending the cracks in a panel	painting			continued					en temps humide;au soleil	coller;colle;huile;cire blanche;cire							poincte dun costeau				
060r	p059v_6				painting				continues					huile;cire											
060r	p060r_1	Blanchiment premier dun tableau	Blanchiment premier dun tableau	First whitening of a panel	painting									croye;colle de destrempe;colle			flamens		painctres		pinceau;broisse;cousteau				
060r	p060r_2	Labeur net	Labeur net	Neat work	painting																				
060r	p060r_3	Huile	Huile	Oil	painting;varnish								expose au soleil	Huile;huile de noix;amendes pelees;palma christi;huile;huile gras;vernis;vernis commun;huiles;ceruse;plomb lime;blanc de plomb;verre p calcine pulverise;eau claire		noix;amendes;palma christi					phiole				
060v	p060v_1	Vernis sec en une heure	Vernis sec en une heure	Varnish dry in an hour	varnish								au vent	Vernis;huile de tourmentine blanc;termentine;mastic pulverise & passe subtillement par un tamis;eau de vye;mastic;tourmentine;huile blanc de tourmentine;mastic pulverise;tour mentine	heure;liards						tamis;baston;costeau				
060v	p060v_2	Laver les tableaulx	Laver les tableaulx	Cleaning panels	painting						urine			eau de savon;urine;vin blanc											
060v	p060v_3	Huile daspic	Huile d’aspic	Spike lavender oil	painting									Huile daspic;huile;huile sur le daspic;boys		aspic			painctres		pinceaulx a huile				
060v	p060v_4	Couleur de bois	Couleur de bois	Wood color	painting;varnish									bois;bistre;vernis											
060v	p060v_5	Labeur des flamens	Labeur des Flamens	Work of the Flemish	painting			continued						huile;poil			flamens		enlumineurs		poincte du pinceau;pinceau				
061r	p060v_4				painting;varnish				continues																
061r	p061r_1	Carnations	Carnations	Flesh colors	painting									blanc de plomb;laque de florence;rose alexandrine;incarnadine;minium;massicot;cendres			florence								
061r	p061r_2	Arrondir	Arrondir	Rounding off	painting																poincte du pinceau & le reste de plat;poincte du pinceau sec & aplati				
061r	p061r_3	Blanc de plomb	Blanc de plomb	Lead white	painting									Blanc de plomb;ceruse											
061r	p061r_4	Jours	Jours	Lights	painting		CONTAINS FIGURE				derriere de ta main		jour								pinceau				
061v	p061v_1	Eau pour donner jour au painctre	Eau pour donner jour au painctre	Water to give light for the painter	painting;practical optics									Eau;eau de vigne					painctre		grande bouteille;chandelle				
061v	p061v_2	Chassis des allemans	Chassis des Allemans	Frames of the Germans	painting;varnish;practical optics					rat				verre;toile;vernis clair de tourmentine;huile de tourmentine;tourmentine;poils de barbe de rat	moictie;presque moictie		allemans				Chassis;chassis;pinceaulx composes de deulx ou trois poils de barbe de rat				
061v	p061v_3	Azur desmail a huile	Azur d’esmail à huile	Azur d’esmail in oil	painting									Azur desmail;huile;eau;tourmentine;beurre;mortier;ceruse;azur							pallete;asses gros pinceau;pinceau;poincte du pinceau				
061v	p061v_4	Broyer couleurs	Broyer couleurs	Grinding colors	painting						poulce			mabre;verre;laque	espoisse dun verre poulce										
062r	p062r_1	Perspectives	Perspectives	Perspectives	painting									huile;destrempe							reigle				
062r	p062r_2	Ocre	Ocre	Ochre	painting									Ocre											
062r	p062r_3	Hommes et animaulx esloignes	Hommes et animaulx esloignés	Distant people and animals	painting									cendre dazur;laque											
062r	p062r_4	Pourtraire	Pourtraire	Drawing	painting									charbon;gomme;destrempe					maistres;aprantis;artiste		costeau;charbon;pinceau				
062v	p062v_1	Portraire	Portraire	Drawing	painting						oeil			cendre;eau					artiste;maistres;aprentis		oeil;compas;regle				
062v	p062v_2	Perspective	Perspective	Perspective	painting		CONTAINS FIGURE				oeil			huile;plomb;fil;filet							regle;regles;poincte dune aultre regle;vis;compas;jugement de loeil;lignes a plomb;fil;crochet;filet				
062v	p062v_3	Tableau	Tableau	Panel	painting									huile;ordure							chevalet				
063r	p063r_1	Couleur damaranthe	Couleur d’amaranthe	Amaranth color	painting									vin blanc;fleur seiche;vin;eau de vye		amaranthe									
063r	p063r_2	Desiccation dhuile	Desiccation d’huile	Drying of oil	painting									huile;massicot;minium;huile que de noix		noix									
063r	p063r_3	Gect	Gect	Casting	casting								mine	plomb de flandres;mine de plomb;crasse;mine;plomb;fer;cuivre			allemans;flandres				vaisseau;formes de fer & de cuivre;creusol				
063r	p063r_4	Umbres	Umbres	Shadows	painting									geyct;scudegrun;ocre			allemans		painctres						
063r	p063r_5	Bistre	Bistre	Bistre	painting									Bistre;destrempe;boys											
063r	p063r_6	Verdegris et aultre tresbeau vert gay	Verdegris et aultre tres beau vert gay	Verdigris and another very beautiful bright green	painting						urine			Verdegris;eau;destrempe;vinaigre;urine;huile;mabre;Scudegrun							pallete;mabre				
063v	p063v_1	Velours et noirs	Velours et noirs	Velvets and blacks	painting									os de peche;laque;charbon de pierre;charbon commun		peche									
063v	p063v_2	Armes	Armes	Armor	painting									charbon de bois dous											
063v	p063v_3	Scudegrun	Scudegrun	Stil de grain yellow	painting									Scudegrun;fleur de genest;eau;alum;ceruse		fleur de genest									
063v	p063v_4	Rosette	Rosette	Rosette	painting									Rosette;croye;ceruse;taincture de bresil		bresil									
063v	p063v_5	Pers de flendres	Pers de Flendres	Flanders blue	painting					vache;cheval				fiente de vache;fient de cheval;floree			flendres								
063v	p063v_6	Paysages de neiges	Paysages de neiges	Snow-covered landscapes	painting									bistre											
063v	p063v_7	Adoulcir	Adoulcir	Softening	painting									mine											
064r	p064r_1	Nettement travailler	Nettement travailler	Working neatly	painting																				
064r	p064r_6	Ocre jaulne	Ocre jaulne	Yellow ochre	painting									Ocre jaulne											
064r	p064r_2	Huile gras	Huile gras	Fatty oil	painting									Huile gras;azur desmail;plus cler huile de noix		noix									
064r	p064r_7	Adoulcir	Adoulcir	Softening	painting									papier huile;bois;toile											
064r	p064r_3	Vermeillon	Vermeillon	Vermilion	painting									Vermeillon;eau;huile;vermeillon;laque;minium;cristallin calcine											
064r	p064r_8	OEil	OEil	Eye	painting																compas				
064r	p064r_4	Couleurs a huile dans leau	Couleurs à huile dans l’eau	Oil colors in water	painting									huile;eau;foeille destain;ceruse;blanc de plomb;minium;massicot;laque;vermeillon;azur											
064r	p064r_5	Double couche	Double couche	Double layer	painting									vert de gris;laque											
064v	p064v_1	Aprentissaige du paintre	Aprentissaige du paintre	Apprenticeship of the painter	painting		CONTAINS FIGURE							oeuf;charbon					paintre		charbon;pinceau				
064v	p064v_3	Adoulcir	Adoulcir	Softening	painting									azur desmail;huile;destrempe							pallete				
064v	p064v_4	Lignes droictes	Lignes droictes	Straight lines	painting																reigle				
064v	p064v_5	Destrempe	Destrempe	Distemper	painting									Destrempe;destrempe;huile											
065r	p065r_1	Umbres	Umbres	Shadows	painting		CONTAINS FIGURE							huile;geiete;ocre jaulne;blanc de plomb;geiette;verd de vessie;bistre;destrempe;bled orbere;terre dombre		bled orbere									
065r	p065r_2	Carnation	Carnation	Flesh color	painting		CONTAINS FIGURE																		
065r	p065r_3	Mirouer	Mirouer	Mirror	painting;practical optics								lumiere du foeu	cristalin					painctre		Mirouer;mirouer de cristalin;chandelle;mirouer				
065r	p065r_4	Couleurs grasses	Couleurs grasses	Fatty colors	painting						allenois			savon;huile;papier;destrempe;dorer;or mat;or couleur;ceruse;minium;massicot;ocre;blanc de plomb;eau;verre pile;laque							pinceau;pile			corps	
065v	p065v_1	Couleurs mi vives	Couleurs mi vives	Semi-lively colors	painting									toile;azur;laque											
065v	p065v_6	Au naturel	Au naturel	From nature	painting									papier huile;papier;eau;gomme;savon;cocon					enleumineurs;painctres						
065v	p065v_2	Paindre grandes figures	Paindre grandes figures	Painting large figures	painting						bout des doigts;main			charbon					artiste		baston				
065v	p065v_3	Glasser	Glasser	Glazing	painting									laque;verdegris;cristallin calcine & broye											
065v	p065v_4	Blanc et noir	Blanc et noir	White and black	painting														aprentif;artiste						
065v	p065v_5	Blanc de plomb	Blanc de plomb	Lead white	painting									Blanc de plomb											
065v	p065v_7	Impression	Impression	Imprimatura	painting									laveures des pinceaulx a huile;huile;verdegris;ceruse;ocre & un peu de jaulne;massicot							pinceaulx a huile				
066r	p066r_1	Doubles couches	Doubles couches	Double layers	painting												flaments								
066r	p066r_2	Umbres	Umbres	Shadows	painting									Aspalte;terre dumbre;laque											
066r	p066r_6	*Or mat	*Or mat	* Or mat	painting			continued			doigt		a la pluye	Or mat;massicot;mine;ocre de ru;ocre jaulne;or;cotton;vernis de flandres;eau de vye;vernis;or mat;huile;verdegris;or moulu;eau;femmes;dore	jour;heure;jours;once		flandres;france				plume;cotton;pinceaulx a huile;dent				
066r	p066r_3	Paindre a destrempe sur bois	Paindre à destrempe sur bois	Painting in distemper on wood	painting									destrempe;bois;glaire doeuf;jaulne;eau;pelures de figuier;huile;vernis		figuier					esponge				
066r	p066r_4	Couleurs a huile qui semboivent	Couleurs à huile qui s’emboivent	Colors in oil that are imbibed	painting;varnish									huile;vernis;toile;destrempe;bol;miel;suc dail											
066r	p066r_5	Dorer mouleure de tableaulx dor mat	Dorer mouleure de tableaulx d’or mat	Gilding molding for panels with or mat	varnish			continued						or mat;colle a destrempe;noir de lampe;noir a noircir;colle;minium;massicot;ocre de ru;ocre jaulne;huile gras;huile;or			flaments				pinceaulx a huile				
066v	p066r_6				painting				continues					dorer	heures										
066v	p066r_5				varnish				continues				au soleil;a la pluye	or mat;vernis;huile gras;ceruse;or bruny							pinceaulx				
066v	p066v_1	Garder de croistre les tetins d ou diminuer les trop grands	Garder de croistre les tetins d ou diminuer les trop grands	For preventing teats from swelling d or to diminish overly large ones	medicine						tetins			grands pains nouvellement tires du four;tourmentine de venise;tourmentine commune;sumach;prunelles de buissons;graine de coings;balaustes;foeilles dolivier;tourmentine;pain chault;eau de ruche de miel;miel;cire	par moictie;fois le jour;jours	sumach;prunelles de buissons;coings;balaustes;olivier	venise				four;linges trempes en eau de ruche de miel	Garder de croistre les tetins d ou diminuer les trop grands;ramolist;faict suer			
066v	p066v_2	Pour attirer les pigeons	Pour attirer les pigeons	For attracting pigeons	animal husbandry					pigeons				huile;chenevi		chenevi					poile				
066v	p066v_3	Contre la meurtrisseure des yeulx	Contre la meurtrisseure des yeulx	Against bruising of the eyes	medicine						yeulx			lamines fort tanvres de plomb								Contre la meurtrisseure des yeulx			
066v	p066v_4	Pinceaulx	Pinceaulx	Paintbrushes	painting			continued		gris;rat	poulce;doigt indice			poil de la queue de gris;quarte;carte;poil;poils de barbe de rat;eau	aultant en une prise comme il en peult tenir en une quarte repliee en canule						Pinceaulx				
067r	p066v_4				painting				continues	rat;menue gris;canard;corbeau	bout des ongles;main			poils;poils de rat;poil de menue gris;tuyau;eau							filet;pinceaulx				
067r	p067r_1	Huile	Huile	Oil	varnish									Huile;huile;papier;tourmentine;huile daspic;vernis		aspic									
067r	p067r_2	Sable	Sable	Sand	casting									Sable											
067r	p067r_3	Four a souflets	Four à souflets	Bellows furnace	tool;metal process									metal;charbon							Four a souflets;souflets				
067r	p067r_4	Vernis sur papier	Vernis sur papier	Varnish on paper	varnish								la premiere pluye	Vernis;papier;glaire doeuf;gomme;huile non daspic mays dun aultre odorant qui semble huile dolif;huile;aspic;aultre odorant qui semble huile dolif;glaire;taffetas		aspic;olif	allemands		painctres;pauvres paysans	odorant					
067v	p067v_1	Limes	Limes	Files	tool									suye;sel;vinaigre;fer doulx;acier;letton;cuivre;laicton					sarruriers;fondeurs		Limes;limes quarrees;limes doulces;limes				
067v	p067v_2	Os de pied de beuf pour sable	Os de pied de beuf pour sable	Bones of the foot of oxen for sand	casting					beuf				Os de pied de beuf pour sable;sable;paille;bourre;sable dos;sable le plus net qui se puisse trouver pour le cuyvre;cuyvre							pinceau				
067v	p067v_3	Huiles dessence	Huiles d’essence	Huiles d’essence	painting;varnish									Huiles dessence;huile de noix;tormentine;eau commune;destrempe;dazur desmail;blanc de plomb;vernis de tourmentine;huile	heure	noix					alembic				
068r	p068r_1	Tables fantasques	Tables fantasques	Fanciful tables	decorative					poissons				carton simple;papier argente & bruny;corne de lanterne bien claire							bruny				
068r	p068r_2	Planter abres	Planter abres	Planting trees	cultivation								lieu sec;temps sec;pluyes	terre											
068r	p068r_3	Gect	Gect	Casting	casting			continued						sables;plomb;estain;croye;verre pile;tripoly;linge brusle;celle de champaigne dont usent les painctres;magistra;pouldre de croye;sable de verre commun;cristallin;verre;sel de salicor;sel de tartre;salicor;charbons;eau;potee;metaulx			champaigne		painctres		pile;moule au chassis;chassis				
