1 pl,,3 pa,,1 pro
1 pro,,1 pl,,1 root
1 root,,1 pro,,7 tl
7 tl,,1 root,,2 tmp
2 tmp,,7 tl,,
,,2 tmp,,
ms-xml/tc/tc_p098r_preTEI.xml,,ms-xml/tcn/tcn_p098r_preTEI.xml,,ms-xml/tl/tl_p098r_preTEI.xml
4 ab,,4 ab,,4 ab
2 al,,2 al,,2 al
1 comment,,4 del,,4 del
4 del,,3 div,,1 df
3 div,,1 env,,3 div
1 env,,9 exp,,1 env
9 exp,,3 head,,5 fr
3 head,,28 lb,,3 head
28 lb,,30 m,,31 m
29 m,,2 ms,,2 ms
2 ms,,3 pa,,4 pa
3 pa,,2 pro,,2 pro
2 pro,,1 root,,1 root
1 root,,12 tl,,11 tl
12 tl,,2 tmp,,2 tmp
2 tmp,,,,
ms-xml/tc/tc_p098v_preTEI.xml,,ms-xml/tcn/tcn_p098v_preTEI.xml,,ms-xml/tl/tl_p098v_preTEI.xml
6 ab,,6 ab,,6 ab
4 al,,4 al,,4 al
1 bp,,1 bp,,1 bp
3 comment,,1 comment,,1 comment
3 del,,2 corr,,1 corr
5 div,,3 del,,3 del
2 exp,,5 div,,5 div
5 head,,2 exp,,3 fr
1 ill,,5 head,,5 head
21 lb,,1 ill,,1 ill
16 m,,21 lb,,16 m
1 ms,,15 m,,1 ms
1 pa,,1 ms,,1 pa
1 root,,1 pa,,1 root
6 tl,,1 root,,5 tl
1 tmp,,6 tl,,1 tmp
,,1 tmp,,
ms-xml/tc/tc_p099r_preTEI.xml,,ms-xml/tcn/tcn_p099r_preTEI.xml,,ms-xml/tl/tl_p099r_preTEI.xml
10 ab,,10 ab,,10 ab
2 add,,2 add,,2 add
2 comment,,1 corr,,5 del
5 del,,5 del,,2 div
2 div,,2 div,,1 emph
1 emph,,1 emph,,1 exp
11 exp,,11 exp,,8 fr
1 head,,1 head,,1 head
1 la,,1 la,,1 la
53 lb,,53 lb,,32 m
32 m,,32 m,,1 ms
1 ms,,1 ms,,3 oc
3 oc,,3 oc,,1 pro
1 pro,,1 pro,,1 root
1 root,,1 root,,1 sn
1 sn,,1 sn,,9 tl
9 tl,,9 tl,,1 tmp
1 tmp,,1 tmp,,
ms-xml/tc/tc_p099v_preTEI.xml,,ms-xml/tcn/tcn_p099v_preTEI.xml,,ms-xml/tl/tl_p099v_preTEI.xml
7 ab,,7 ab,,7 ab
1 add,,1 add,,1 add
1 comment,,4 del,,1 comment
4 del,,6 div,,4 del
6 div,,5 exp,,6 div
5 exp,,6 head,,2 fr
6 head,,31 lb,,6 head
31 lb,,18 m,,18 m
18 m,,2 mark,,2 mark
2 mark,,1 ms,,1 ms
1 ms,,1 pa,,1 pa
1 pa,,1 root,,1 root
1 root,,7 tl,,8 tl
7 tl,,,,2 wp
2 wp,,,,
ms-xml/tc/tc_p100r_preTEI.xml,,ms-xml/tcn/tcn_p100r_preTEI.xml,,ms-xml/tl/tl_p100r_preTEI.xml
7 ab,,7 ab,,7 ab
2 add,,2 add,,2 add
1 bp,,1 bp,,1 bp
1 comment,,4 del,,4 del
4 del,,5 div,,5 div
5 div,,1 emph,,1 emph
1 emph,,7 env,,7 env
7 env,,2 exp,,3 fr
2 exp,,5 head,,5 head
5 head,,31 lb,,27 m
31 lb,,27 m,,1 ms
27 m,,1 ms,,1 pa
1 ms,,1 pa,,1 pro
1 pa,,1 pro,,1 root
1 pro,,1 root,,1 sn
1 root,,1 sn,,9 tl
1 sn,,9 tl,,2 tmp
9 tl,,2 tmp,,
2 tmp,,,,
4 ups,,,,
