folio	div_id	heading_tc	heading_tcn	heading_tl	margin	has_figures	continued	continues	al	bp	cn	env	m	ms	pa	pl	pn	pro	sn	tl	md	mu
131r	p131r_1	Herbes qui sont malaisees a brusler dans le moule	Herbes qui sont malaisées à brusler dans le moule	Plants that are awkward to burn in the mold									charbon							moule		
131r	p131r_2	Lettre et papier moule	Lettre et papier moulé	Letters and molded paper									papier;ancre;eau de vye;dardille							plastre dardille		
131r	p131r_3	Pour orner des licts mirouers et semblables	Pour orner des licts, mirouers et semblables	For adorning beds, mirrors, and suchlike								licts;mirouers	ardoise;estain mesle;dorer;or de feuille;rubis;orpiment							ardoise bien unye		
131r	p131r_4	Pour bien aprendre un cheiien	Pour bien aprendre un cheiien	For teaching a dog well					cheiien	aisselle			fromage					aprentis				
131r	p131r_5	Cires moulees	Cires moulées	Molded waxes		CONTAINS FIGURE	continued						Cires;cire;ceruse;blanc de plomb;or;argent;cires;metaulx;cire blanche;crasse							moule;moules		
131v	p131r_5							continues					or;argent;cire;soufre fondu;fumee de chandelle;ceruse;eau bouillante							moule		
131v	p131v_1	Quand le gect destaim ou de plomb soufle	Quand le gect d’estaim ou de plomb soufle	When the cast of tin or lead becomes porous		CONTAINS FIGURE	continued		lezard	doigt			estaim;plomb;cire;argenter;dorer;rousine;estaim de glace;soulder;metal;or;argent;eau	℥;lb					en telle chaleur que tu le puisses manier sans lesion ou que tu puisses tenir le doigt dans le gect sans te brusler	moule;doigt;burin;limes;chaple		
132r	p131v_1							continues					estaim;eau;estain;plomb							moule		
132r	p132r_1	Moule faict a deulx gects	Moule faict à deulx gects	Mold made in two casts									lutte;terre;estaim;argent;or;plastre;luter							Moule;crampons;molle;moule;presses;terrine;cramponer		
132r	p132r_2	Forme de recuire les moules	Forme de recuire les moules	Method for reheating the molds			continued			doigts		vent dune fenestre	charbons;charbon;luttes	doigts						moules;forge;moule;grille;four;souflet		
132v	p132r_2							continues														
132v	p132v_1	Sable commun de mine	Sable commun de mine	Common sand from the mine								mine	Sable commun de mine;vinaigre distille							chassis;moules		
132v	p132v_2	Crocum ferri	Crocum ferri	Crocum ferri					lesarde	ongle;doigts			Crocum ferri;vinaigre;porphire;crocum;alum de plume;crocum ferri;or;argent;limaille daiguilles;limaille dacier & daiguilles	jours;plusieurs foys chasque jour;moictie						porphire;ongle;pot;four a vent;doigts;moule;moules		
132v	p132v_3	Dorer animaulx gectes dargent	Dorer animaulx gectés d’argent	Gilding animals cast in silver									Dorer;argent;dorer;amalgame									
133r	p133r_1	Cire dure pour empraindre cachets	Cire dure pour empraindre cachets	Hard wax for imprinting seals									Cire dure;cire blanche;ceruse ou blanc de plomb fort subtillement broyé;tourmentine;cire	goutte				orfevres				
133r	p133r_2	Pieds de petitses lezardes pour or et argent	Pieds de petitses lezardes pour or et argent	Feet of smalls lizards for gold and silver		CONTAINS FIGURE			lezardes;lesards				or;argent;cire									
