folio	div_id	heading_tc	heading_tcn	heading_tl	margin	has_figures	continued	continues	al	bp	cn	env	m	ms	pa	pl	pn	pro	sn	tl	md	mu
083r	p083r_3	Aultre sable	Aultre sable	Another sand									Charbon de sarment;terre argille;glaire doeufs bien battue;vinaigre		sarment					tamisee;four		
083r	p083r_4	Aultre pour le plomb	Aultre pour le plomb	Another for lead									plomb;ardoise subtillement pillee;pierre ponce calcinee;vernis							pot		
083r	p083r_5	Aultre	Aultre	Another					cheval				tuile peu cuitte broyee;vin blanc;papier de trasse noir brusle;fiente de cheval bruslee;glaire doeuf;papier de trasse brusle;charbon									
083r	p083r_6	Sable excellent	Sable excellent	Excellent sand		CONTAINS FIGURE						cave;lieu humide	Albastre calcine;charbon;albastre;sel armoniac;metal	lb;℥						crusol;double tamis;moule		
083v	p083v_1	Forme de mouler excellente avecq eau	Forme de mouler excellente avecq eau	A way for molding excellently with water								en lieu humide	eau;axunge de verre;cendres;vitriol;couperoses									
083v	p083v_2	Mouler de relief dune part et creux de laultre	Mouler de relief d'une part et creux de l'aultre	Molding in relief on one part and hollow on the other.						mains			cuivre;letton;metal;crasse;ordure;vinaigre;vin;sable grossier;sable doulx & subtil;charbon de saule		saule					chassis;presse;mains;chevilles		
083v	p083v_3	Souflets	Souflets	Bellows	left-middle							en lieu aire;vent	charbon							Souflets;souflets;fourneau;grille;four a vent;four		
084r	p084r_1	Masque in promptu	Masque in promptu	Impromptu mask		CONTAINS FIGURE						lieu sec	papier;pain;mabre							four;moule;tamise		
084r	p084r_3	Eau magistra	Eau magistra	Eau magistra								cave	Eau magistra;sel gemme;sel;suin de verre subtilement pulverise;mabre;huile de tartre							mabre;moule		
084r	p084r_4	Farine	Farine	Flour									Farine									
084r	p084r_5	Sable de mine de Thoulouse	Sable de mine de Thoulouse	Sand from a mine in Thoulouse								mine de Thoulouse;au costau de puy david bien profond en terre	Sable de mine de Thoulouse;sable de thoulouse;suin de verre pulverise;verre pile;eaulx des susdicts sels;sable naturel;cuivre			Thoulouse;thoulouse;puy david				chauldiere de cuivre		
084v	p084v_1	Sable	Sable	Sand					bœuf	doigts			os de pieds de bœuf fort brusle & pulverise;porphire;vin bouilly avecq racine dorme;mache de fer;os de pieds de bœuf fort brusle;feultre aussy fort brusle;plomb;feultre;sable gras;metal gras;sable maigre		orme				ne se sente point entre les doigts	porphire;doigts;chassis		
084v	p084v_2	Eau magistra	Eau magistra	Eau Magistra					huitres				Eau magistra;eau sel;sel;vin bouilly avecq racine dorme;charbon pour poncer;celuy de saule;celuy de chaisne ou fayan;huitres bruslees		orme;saule;chaisne;fayan							
084v	p084v_3	Plomb	Plomb	Lead									Plomb;plomb doux;estaing douls									
084v	p084v_4	Sable pour le plomb le plus excellent de tous pour grand relief et petit	Sable pour le plomb le plus excellent de tous pour grand relief et petit	Sand for lead, the most excellent of all, for high and low reliefs		CONTAINS FIGURE	continued						plomb;ceruse;porphire;glaire doeuf fort battue							porphire;costeau		
085r	p084v_4					CONTAINS FIGURE		continues	pourceau	doigts		mine	huile;linge;sayettes de pourceau;huile de noix clair;ceruse;eau de glaire doeuf;feultre;os brusle;mache de fer;eau;glaire;eau gommee;vin;racine dorme;huiler;verre;plomb doux;estaim aigre;sable maigre;ponce;lescaille;sables maigres;metal;minium;Huile;huile daspic;celuy de mine;chassis		noix;orme;aspic					table bien nette & unie;doigts;costeau;linge;sayettes de pourceau;moule;mabre;chassis;pilon		
085r	p085r_1	Vernis vert pour les medailles de cuivre	Vernis vert pour les medailles de cuivre	Green varnish for medals of copper									Vernis vert;cuivre;sel de verre;huile;fient	jours								
085r	p085r_2	Colle	Colle	Glue									Colle;terre;minium;massicot;vernis			flamens				pots de terre		
085v	p085v_1	Fondeur	Fondeur	Founder									glaire doeufs battue;terre de quoy ilz font la premiere couche de la chappe de pieces & cloches & toutes aultres pieces;glaire;rosette;plomb					Fondeur		moule		
085v	p085v_2	Mortiers	Mortiers	Mortars									cuivre de chauldron;rosette;cuivre;metal					apothiquaires		Mortiers;mortiers		
085v	p085v_3	Sable de mine	Sable de mine	Sand from a mine								mine	Sable de mine;grands metaulx;porphire;aspalte;tripoly;feultre brusle							four;porphire		
085v	p085v_4	Sables experimentes	Sables experimentés	Sand experiments		CONTAINS FIGURE	continued				sols	mine	sable de Thoulouse;porphire;vin boully avecq racine dorme;sable de mine;metal	espesseur dune piece de quarante sols	orme	Thoulouse	Jesus	apothiquaires		poilonne;subtil tamis;double des apothiquaires;porphire		
086r	p085v_4						continued	continues	bœuf	doigts			matiere de poelone;potin;charbons;matiere de poelonne;os de pied de bœuf brusle pulverise;glaire doeuf;vin bouilly avecq racine dorme;sable dos;os pulverise;ceruse;areneulx;metal;plomb;cuivre;letton;grands metaulx;Lutte;fer;os		orme					chassis;forneau;tamise;double tamys;moules;doigts;mortier		
086v	p085v_4							continues				hors du vent	metal;carte;papier	espesseurs de papier						moule;carte		
086v	p086v_1	Sable excellent pour plomb estain et cuivre	Sable excellent pour plomb, estain, et cuivre	Excellent sand for lead, tin and copper		CONTAINS FIGURE	continued					mine	plomb;estain;cuivre;os brusle;mache de fer;feultre brusle;mabre;glaire doeuf battue;sable de mine;☾;vieulx K;plomb doux;potin de seringue;fin laitton;letton	nuit;heures;moictie					sonante	mabre;chassis;moule		
087r	p086v_1							continues		doigt			letton;cuivre;metail;carton;terre;fin sable de gect					fondeurs	sonner	chassis;crusol;fourneau a souflets;four a vent;moule;carton;doigt		
087r	p087r_1	Sable de Thoulouse	Sable de Thoulouse	Sand from Thoulouse								vigne;vigne qui est bien haulte	Sable de Thoulouse;celuy qui se trouve en une vigne de puy david>;celuy du touch pres de Sainct Michel & vers blagnac En une vigne qui est bien haulte			Thoulouse;puy david;touch;Sainct Michel;blagnac						
087v	p087v_1	Sable ardoise et terre bruslee	Sable, ardoise, et terre bruslée	Sand, slate, and burned earth									ardoise;terre bruslee;sable gras									
087v	p087v_2	Magistra	Magistra	Magistra									Magistra;racine de jeune orme;vin;vinaigre		orme			fondeurs		barriquet		
087v	p087v_3	Sable de mine de Thoulouse	Sable de mine de Thoulouse	Sand from the mine of Thoulouse						ongle		mine;bas en terre;en hault	Sable de mine de Thoulouse;gemme fondue;fer;porphire;glaire doeuf battue;plomb;estaim;terre;glaire doeuf passe par lesponge;vinaigre;glaire;eau sel;vin;rocher;plomb pur			Thoulouse				double tamis;porphire;ongle;mortier;esponge		
088r	p088r_1	Visme	Visme	Visme											Visme;ronce							
088r	p088r_2	Mortiers	Mortiers	Mortars									cuivre;fer;metal							Mortiers;mortiers;mortier		
088r	p088r_3	Vernis	Vernis	Varnish									Vernis;Huile de tormentine;Tormentine;bonne eau de vye							sur le rechault;costeau		
088r	p088r_4	Hanter	Hanter	Grafting																		
088r	p088r_5	Boulangier	Boulangier	Baker									poulsiere;bled;cendres;grosse toile;canevas		bled			Boulangier		tamis;belluteau de grosse toile ou canevas		
088r	p088r_6	Estain de glace	Estain de glace	Looking-glass tin									Estain de glace									
088v	p088v_1	Sable de sel gemme pulverise et sable de mine subtilie sur le mabre	Sable de sel gemme pulverisé et sable de mine subtilié sur le mabre	Sand from pulverised rock salt and sand from the mine finely ground on marble								mine;cave;a lhumide	Sable de sel gemme pulverise;sable de mine;mabre;porphire;papier;sel gemme;sel	nuict						mabre;mortier;porphire;double tamis;manche de chemise;papier		
088v	p088v_2	Sable mineral	Sable mineral	Mineral sand						mains		pierriere;roche;nature	pierre;eau;porphire;bourre;plomb;cuyvre;sables gras;metal;sables artificiels;bled orbere;bled en farine		bled orbere;bled			artisans qui travaillent en grand ouvrage	frangible entre les mains	mains;tamis;porphire;chassis		
089r	p089r_1	Sable dos de bœuf brusle et sal gemme	Sable d'os de bœuf bruslé et sal gemme	Sand of burnt oxen bone and rock salt					bœuf			serain de la nuit;humeur de la cave	Sable dos de bœuf brusle et sal gemme;porphire;papier;estain doulx;estaim;plomb fin;os de pied de bœuf;sable gras;tripoly;sels;foeultre;cendres	aultant dun que daultre						porphire;papier;serviette		
089r	p089r_2	Recuire ou essuyer un chassis moule	Recuire ou essuyer un chassis moulé	Reheating or drying a molded frame																chassis		
089r	p089r_3	Sable naturel	Sable naturel	Natural sand									Sable naturel;plomb;estaim									
089v	p089v_1	Sel armoniac et albastre	Sel armoniac et albastre	Sal ammoniac and alabaster		CONTAINS FIGURE				poignees;main		cave;au serain;lieu humide;a lhumide	Sel armoniac;albastre;sel armoniac;mabre;albastre pulverise;papier;sel;huile daspic;pierre;armoniac;areneulx;sels propres aulx metaulx	℥;lb;jours	aspic					mabre;feille de papier;serviette;chassis;main;moule		
089v	p089v_2	Sable de mine blanc des verriers mesle de sel armoniac	Sable de mine blanc des verriers meslé de sel armoniac	Glassmaker's white sand from the mine , mixed with sal ammoniac								mine;ville	Sable de mine blanc des verriers;sel armoniac;sel;porphire;albastre calcine;eau gommee ou pure;moustarde;huile ou dolive noix ou pour mieulx daspic	jour	olive;noix;aspic	Cominge;aurignac		verriers;potiers		porphire		
090r	p090r_1	Sel armoniac et mache de fer	Sel armoniac et mache de fer	Sal ammoniac and iron dross								au serain;cave	Sel armoniac;mache de fer;sel armoniac;bronze;porphire;mache de fer pulverisee & subtiliee							mortier de bronze;double tamis;porphire;serviete		
090r	p090r_2	Sable	Sable	Sand									crocum ferri;ardoise calcinee			foix		mouleurs				
090r	p090r_3	Que tout sable se peult rendre bon	Que tout sable se peult rendre bon	All sands can be rendered good			continued			doigts		mine;au profond de la sablonniere;pres des rochers aulx pays montueulx;aulx territoires maigres;aulx environs de toutes les bonnes villes;pres de leur demeure	celuy des mine;terre;arene;sable de mine			bonnes villes;Lyon;venise;parys pres la Saincte chappelle		artisans qui travaillent en grands ouvraiges;artisans	qui se trouve doulx en le maniant entre les doigts	doigts		
090v	p090r_3							continues					eau;porphire;croye;sels;linge ou foeultre brusle;cendres de papier							tamis;vaisseau;porphire		
090v	p090v_1	Terre fondue des potiers	Terre fondue des potiers	Terre fondue of potters									Terre fondue des potiers;moustarde;eau;eau sel					potiers		mortier;moulin de moustarde		
090v	p090v_2	Orangers	Orangers	Orange trees								jardins	terre	de deulx ans en deulx ans	Orangers;orangers	Italie;lombardie				caisses quarrees de bois;boucles;leniers;caisses;vis;clous		
091r	p091r_1	Hanter	Hanter	Grafting								En temps serain & doulx & non trop froid & venteulx			vigne;persees;abricots;prunier;amendiers							
091r	p091r_2	Mouler en os de seiche	Mouler en os de seiche	Molding with cuttlefish bone			continued		seiche			en lieu humide	os de seiche;os;tuile;charbon de saule pulverise;charbon de saule;brique;metal;plomb		saule					os de seiche;costeau;tuile a crochet;os;contre os;marteau;ciselet;moule;trancheplume		
091v	p091r_2					CONTAINS FIGURE		continues	seiche	mains;genoux			os;bois;ardille;charbon de saule;huile;pouldre de charbon de saule;huilee;os de seiche;plomb;estaim;metal;estain	proportion	saule					os;pointes de bois;mains joinctes entre les deulx genoux;presse;broisses;os de seiche;chassis;moule		
092r	p092r_1	Sable Mixture aysee a fondre	Sable Mixture aysée à fondre	SandMixture easy to melt		CONTAINS FIGURE							estaim doux;plomb fin;estaim de glace;argent vif arreste;souldure;estaim fin	℥;partye;partie						plat destaim fin		
092r	p092r_2	Mouler cave dun coste et de relief de laultre	Mouler cave d'un costé et de relief de l'aultre	Molding a cavity on one side and in relief on the other									estain fin;souldure;noir de lampe;eau;cuivre;argent;plomb;estaim;estain;estain doulx							chassis;pinceau;grille		
092r	p092r_3	Potin	Potin	Potin									Potin;potin;estaim;verd									
092r	p092r_4	Mouler statues	Mouler statues	Molding statues									terre bourre dont usent les fondeurs;terre ardille	moictie				fondeurs				
092v	p092v_1	Sable des telines et moules de riviere	Sable des telines et moules de riviere	Sand from river tellins and mussels					telines;moules;coquilles			riviere;rivieres deau doulce	Sable des telines et moules de riviere;coquilles									
092v	p092v_2	Congellation de mercure	Congellation de mercure	Congealing mercury		CONTAINS FIGURE							mercure;fer;☿;verdet;vitriol de salpestre;eau vielle des mareschaulx;estaim;crasse;eau fort;argent;estain;plomb	heure;℥;ana				mareschaulx		cassolle de fer;palle;cuellere;creuset creux		
092v	p092v_3	Mixture	Mixture	Mixture									Estaim fin;mercure congelle;estaim;estaim de glace;plomb fin;souldeure	aultant dun que daultre								
093r	p093r_1	Olives	Olives	Olives						mains			eau sel	une foys le moys	Olives				toucher			
093r	p093r_2	Observation des rustiques	Observation des rustiques	Observation from rustics								il gele;gelee						rustiques				
093r	p093r_3	I Hantes	I Hantes	Grafts								en temps de gelee			peschiers;pruniers						humeur	
093r	p093r_4	Sable	Sable	Sand								foyer	cendre blanche de tout boys;boys							foyer		
093r	p093r_5	Sable	Sable	Sand								cuisines;grandes cuisines	cendre;suye bien pulverisee;chaulx vive subtillement pulverisee;pierre vive									
093v	p093v_1	Visaige a destrempe	Visaige à destrempe	Faces in distemper								cheminees des grandes cuisines	destrempe;toile;bistre;rouille;huile;ocre de ru;vert de vessie;mabre							esponge;pinceau;mabre		
093v	p093v_2	Azur	Azur	Azure		CONTAINS FIGURE							Azur;azur desmail;toile;boys;vernis;huile					painctres;grossiers		pinceau;palette		
093v	p093v_3	Violet et laque	Violet et laque	Violet and lake									laque;azur;verre							pallete;costeau poly;verre		
094r	p094r_1	Fourbisseur	Fourbisseur	Furbisher		CONTAINS FIGURE	continued		chien;chien de mer	main;sue	sous	mer	fer;bois;colle;cire gommee;cire;poix;rousine;fil de fer;peau de chien;soye;filet;filets;peau de chien de mer;fil de fer recuit;fil dor & dargent fin & faulx;velours;peau;eau fort peu tiede;fil noir	sous;douzaines;heure				Fourbisseur		fil de fer;peau de chien;rouet		
094v	p094r_1					CONTAINS FIGURE	continued	continues		doigts	sols		or;toile deliee jaulne ou aultre jaulnye avecq de la croye;toile;colle;gome;fil;soye;argent;or fin;foeille de sauge;sorbier;huile;esmery;fer;acier fort uny & bien lime;pierre;coux;sanguine;boys;boys de buy;fresiller;saule;fresil;escaille de fer;flin;pierre de fouldre	sols;espesseur de trois doigts	sauge;sorbier;buy;saule			Ceulx qui font les gardes despees;artisans;fourbisseur;mareschaulx		chameau;arson;baston de la fustee;brunir;fustee;poincte dhalebarde;lime;grateau;pierre;coux;baston a fresiller;forge des mareschaulx;banc des fourreaux;baston a felinder;flin;pierre de fouldre		
095r	p094r_1						continued	continues		pied;doigt;main	lb;liart		meillleur acier & fer;esmeril pulverise;farine;huile;esmeril;felin;pierre de fouldre;felinder;croye;croye seiche;boys;bois	douzaine;lb la douzaine;goute		espaignolles;vienne;daulphine		fourbisseur;forbisseur;serruriers;mareschaulx		forgees;forge;pied;meule;chameau;baston;doigt;felin;pierre de fouldre;fustee;baston a felinder;gratteau;main;estoc;lime;marteau;ciseau		
095v	p094r_1						continued	continues		doigt	sols;carolus;lb		eau;rousine;colle;rousine pulverisee;perles;boys;fayan;fer	douzaine;sols;carolus;douzaines;lb;travers de doigt despes	fayan		roy	roy;forbisseurs;aprentis;fourbisseur;menusiers		cloux;clou;banc des fourreaulx;plane;petit fer;banc des menusiers;costeau a deulx manches;rabot		
096r	p094r_1							continues	veau;mouton;vache	pied	sols		cuir;pierre noire;velours;colle;suif;cuir de veau ou de mouton;chair;buys;belle peau de veau;peau;eau tiede legerement;boys;filet noir;bois de buy;huile;simple toile;parchemin;encire;toile deliee;cire;peau de mouton	demy pied;par jour;sols	buys;buy			ouvrier;celuy mesme qui ha faict le boys;communes gens		plane ronde manchee aussy a deulx manches;petite plane estroicte;pierre noire;ciseau;ribot;loppin de buys;plane;bois de buy;linge		
096v	p096v_1	Gardes grises	Gardes grises	Grey guards								cheminee	cendres;cendre;charbon allume;crasse	heure						chaulderon plein de cendres		
096v	p096v_2	Couleur deau	Couleur d'eau	Color of water									sanguine;vernis	jour						lime doulce;brunisson		
096v	p096v_3	Vernis jaulne	Vernis jaulne	Yellow varnish									Vernis jaulne;huile dolive de noix;charbon;cendre		olive;noix			fourbisseurs		plume;fourneau des fourbisseurs		
097r	p097r_1	Le vernis noir	Le vernis noir	Black varnish									vernis noir;gallipot									
097r	p097r_2	Dorer	Dorer	Gilding						nes;doigts	sols		argenter;or;sanguine;pottee;cendres;fer;linge blanc	quarteron				painctres	on la sent & on laproche du nes	lime doulce;pincettes;vergette de fer;linge blanc		
097r	p097r_3	Argenter	Argenter	Gilding with silver									Argenter;or;foeille dargent;argentees;foeille;sanguine							lime;costeau;pincettes;brunisson		
097v	p097v_1	Vernis de mastic sec en demye heure	Vernis de mastic sec en demye heure	Mastic varnish dry in a half hour		CONTAINS FIGURE			pulces	bout du doigt;doigt			Vernis de mastic;mastic;tourmentine;huile de tourmentine;eau de vye;vernis;tormentine;huile;mastic subtillem ent pulverise;cendres;festus;eau;mastic pulverise;aspic;huile daspic	demye heure;℥;demye ℥;troisiesme partye	festus;aspic	Italiens				escuelle vernissee;tamis;costeau;mortier;tamis fort subtil;bout du doigt;doigt		
097v	p097v_2	Travailler daprest	Travailler d’aprest	Painting on glass						halene								ouvriers				
098r	p098r_1	Vernis pour les luts	Vernis pour les luts	Varnish for lutes					dragon				Vernis;tormentine;huile de tormentine ou daspic;ambre pulverise;mastic;sang de dragon;terra merita		aspic							
098r	p098r_2	Bords de Jardin	Bords de jardin	Borders of a garden								Jardin	fer	long	rosmarin					rateau;cordeau;tranche;picquet de fer		
098r	p098r_3	Sarrurier	Sarrurier	Locksmith					lesard				estamer;vinaigre;linge;rousine;vernis;estaim pur & fin;fer;estain;estoupes;estame;estamees;estamure faycte de foeille;estamure;sel armoniac	pauses	linge			Sarrurier;plombeurs		liment;linge;estamiere;teste du clou;fer;petit baston entourne destoupes		
098v	p098v_1	Petis chiens	Petis chiens	Small dogs					chiens													
098v	p098v_2	Artichauts sales	Artichauts salés	Salted artichokes									saulmure;huile;vinaigre;œuf;oeuf;fruits	tout lan	Artichauts					barricot		
098v	p098v_3	Abres	Abres	Trees																		
098v	p098v_4	Oyseaulx	Oyseaulx	Birds					Oyseaulx;lievre				duvet;peau de lievre							broche		
098v	p098v_5	Fonte	Fonte	Fonte			continued			doigt			potee;terre bruslee;terre bourre bolvene;pierre;paille;terre;huilee							pierre;paille;broisse;doigt		
099r	p098v_5							continues					terre;eau;letton de chandelier;limaille;potin;letton;cuivre;metaulx alies;fer;charbon;charbons;briques	heures						chassis;crusol;fourneau;briques		
099r	p099r_2	Sable blanc maigre	Sable blanc maigre	Lean white sand									Sable blanc maigre;porphire;vinaigre;eau;eau sel;sel;matiere de poelonne;sable blanc;soufre;plombe;sel armoniac					verriers	sent le soufre	porphire;moule		
099r	p099r_3	Anses de cloches	Anses de cloches	Bell handles									soulder									
099v	p099v_1	Coigniers	Coigniers	Quince trees											Coigniers							
099v	p099v_2	Canons	Canons	Cannons		CONTAINS FIGURE							metal;huile							foret;foreter		
099v	p099v_3	Cloches	Cloches	Bells																		
099v	p099v_4	Dorer ta moleures de tableaux sans or	Dorer ta moleures de tableaux sans or	Gilding your molding for panels without gold									or;orpiment en foeille;orpiment;metaulx broyes;cristallin broye;pierre de touche									
099v	p099v_5	Orenge dorpiment	Orenge d'orpiment	Orpiment orange									orpiment;arsenic									
099v	p099v_6	Vernis	Vernis	Varnish									Vernis;mastic;huile de tourmentine claire & blanche;eau de vye;cendres	onces						vaisseau		
100r	p100r_1	Or couleur	Or couleur	Gold color								au soleil;au feu;temps nest serain & sec;temps est relent & humide	or sur mat;toile;tableau a huile;huile de noix;plomb;ceruse;massicot;mine;verdet;orpiment;or		noix							
100r	p100r_2	Pourtraire au naturel	Pourtraire au naturel	Portrait-painting from nature															observer			
100r	p100r_3	Pierreries	Pierreries	Gemstones									Pierreries;verre espes;mastique;bois;verre					parfumeurs		piler;mortier de verre espes;mortier de bois;pilon		
100r	p100r_6				left-middle								verre							Mortier de verre;table de verre		
100r	p100r_4	Le salpestre vitrifie	Le salpestre vitrifié	Vitrified saltpeter									salpestre;caillous;verre;caillou blanc calcine;verrieres	aultant de caillou blanc calcine						tuile ou palle chaulde;petit fourneau		
100r	p100r_5	Vitres que le soleil ne passera point	Vitres que le soleil ne passera point	Windows through which the sun will not pass						mains		soleil;a lair ou lieu humide	salpestre susdict calcine;salpestre;sel alchali							charbons allumes		
100v	p100v_1	Pierrerie	Pierrerie	Gemstone		CONTAINS FIGURE						rivieres;sablon;chemins	Pierrerie;caillous blancs qui se trouvent par les rivieres & parmy le sablon & les chemins qui sont aulcunement transparents;eau;vinaigre;cuivre;caillou;bon minium non sophistique de brique;bronze;sel de verre;suin de verre;sel alchali;esmerauldes;Esmeraulde;sel;minium;sels	℥;gros;heure & demye				commun;verriers;apotiquaires;vulgaire		four a vent;pile;mortier tout pur de cuivre;pilon de pur cuivre;mortier de bronze;chaulderon de pur cuivre;creusets;fornaise		
100v	p100v_2	Pour ruby prens de lor en foeille	Pour ruby prens de l'or en foeille	For ruby take some gold leaf		CONTAINS FIGURE	continued						ruby;or en foeille;rubis;esmerauldes;caillou blanc calcine;verre;dorent;or;caillous;salpestre	de deulx tuiles;℥;un grain;le poix dun grain	peschier			painctres		four;tuiles;mortier de verre;pilon		
101r	p100v_2					CONTAINS FIGURE		continues					Minium;minium seul vitrifie;or;antimoine	℥;jour;grains						pilles;crusol;tuile;grille;fourneau;carreau arrondy espes;four;charbon;tuiles		
101r	p101r_1	Topasse	Topasse	Topaz									Topasse;pierreries;caillous calcines;minium;cuivre;esmeraulde;fer;topasse;ambre;ruby;or en foeille;pierre ponce;pierre a foeu;emaulx;caillous;vitre de couleur;esmaulx;tartre un peu brusle;arene	doze;un poix de caillous calcines sur trois de minium;heure & demye						pilant;mortier de cuivre;mortier de fer;pilons;mortiers;pile		
101r	p101r_2	Sel a fayre fondre	Sel à fayre fondre	Salt for melting			continued						Sel;salpestre;sel commun;cuivre fondu;mabre;metal	aultant						four a vent;mabre;crusol		
101v	p101r_2							continues					mabre;albastre							crusol;mabre		
101v	p101v_1	Jacinthe	Jacinthe	Jacinth									Jacinthe;ruby;or;antimoine rubifie;jacinthe	jour						creusets		
101v	p101v_2	Topasse	Topasse	Topaz									Topasse;pierre ponce calcinee & pulverisee;minium;pierre pulverisee;acier;ponce;verre;caillou a foeu	une part de pierre ponce calcinee & pulverisee & tr avecq trois pars de minium						mortier de ver f acier;mortier de verre		
101v	p101v_3	Vernis	Vernis	Varnish									Vernis;minium;huile de lin;vernis;ambre jaulne fort pulverise		lin	allemands						
101v	p101v_4	Gomme armoniac	Gomme armoniac	Gum ammoniac									Gomme armoniac;vinaigre;gommes de medecine							estamine		
102r	p102r_1	Provisions pour loeuvre de colchos	Provisions pour l’oeuvre de Colchos	Provisions for the work of Colchos		CONTAINS FIGURE							☿;gros sel;plomb;plombes;vinaigre;bon vinaigre;cotton	lb;pots						cornues;terrines sans plomb;pots non plombes;alembics;pots;lampes;ciseaulx		
102r	p102r_2	Pour le four	Pour le four	For the furnace						pousses;pied			pierre;terre;fer blanc;Huile de graine de navete	pousses en quarre;pied	navete					four;cofre;boictes;pots de terre avecq un couvercle;tuyaulx de fer blanc;lampes;fusil		
102r	p102r_3	Ciment royal	Ciment royal	Royal cement									Ciment royal;vitriol;salpestre;alum de roche	lb & demye								
102r	p102r_4	Vaisseaulx de verre	Vaisseaulx de verre	Glass vessels		CONTAINS FIGURE				doigt			verre	petit dos de costeau;plume dholande;travers de doigt		holande				Vaisseaulx de verre;vaisseau de verre;costeau;ampoulles;plume dholande		
102v	p102v_1	Paindre sur cristal ou verre	Paindre sur cristal ou verre	Painting on crystal or glass					dragon				cristal;verre;huile;azur dacre;laque pour rouge plus tost faict;sang de dragon;foeille de topasse ou une dor ou dargent;topasse;or;argent			acre						
102v	p102v_2	Infusion d anthos ou rosmarin	Infusion d' anthos ou rosmarin	Infusion of anthos or rosemary		CONTAINS FIGURE						a lombre;au soleil	anthos;rosmarin;huile;premiere substance de vin;substance de vin;eau;vin blanc	mois;jour;jours;infusions;infusion;moys;℥;cuillerees	anthos;rosmarin		Paul tiers	vieulx		bouteille;vaisseau;alenbic;cuillerees		
102v	p102v_3	Gect	Gect	Cast		CONTAINS FIGURE							estain;estaing;souldre									
103r	p103r_1	Contre bruslure excellent	Contre bruslure, excellent	Against burns, excellent						chair;visaige;poil			huile de lin;plus noeufve cire;bois noeuf;eau beniste;premiere eau;nouvelle eau;onguent blanc & doulx;eau;vin;unguent;foeilles de lierre	quart;pater noster;espace que tu diras 8 pater noster;espace de 9 jours;deulx foys le jour	lin;lierre			pouldrier		spatule de bois noeuf;linge mouille;linge deslie		
103r	p103r_2	Contre la galle des chiens	Contre la galle des chiens	Against dogs’ mange.					chiens				pegue;eau;eau de sublime			Anglois		penseurs				
103v	p103v_1	Clistere	Clistere	Enema					poulet	veines			boyau de poulet							canon		
103v	p103v_2	Gect	Gect	Cast							teston		estaim;soulder;taffetas	espesseur dun teston								
103v	p103v_3	Pour fayre courre les couleurs	Pour fayre courre les couleurs	For making colors run									vinaigre;fiel;verre;sel							bouteille de verre		
103v	p103v_4	Suif doreille	Suif d’oreille	Earwax						oreille;teste			Suif doreille;escume de lurine;escume							cureaureille		
103v	p103v_5	Esmauls	Esmauls	Enamels								soleil	Esmauls;cristal;verre;eau							chandelle;mirouer de cristal;globe ou bocal de verre		
104r	p104r_1	Pour manger et dissouldre lor tout pur	Pour manger et dissouldre l'or tout pur	For eating away and dissolving entirely pure gold									or;sel commun;eau fort;argent	heures						matras		
104r	p104r_2	Pour graver sur fer	Pour graver sur fer	For engraving on iron		CONTAINS FIGURE					liard	au foeu;au soleil	fer;verdet;gros sel;sublime;massicot;huile de lin;fer bien net & poly;eau;sel armoniac	℥;liard;deulx fois aultant;grains	lin							
104r	p104r_3	Bonne saulce a colorer lor	Bonne saulce a colorer l'or	Good mixture to color gold									Soufre;gravelle;sel;terra merita;soufre	aultant dun que daultre;tierce partie								
104r	p104r_4	Argenter sur cuivre et letton	Argenter sur cuivre et letton	To gild with silver on copper and latten									Argenter;cuivre;letton;argent;or;dorer;huile de noix;boutteure doulce		noix							
104r	p104r_5	Esmailler une cornaline	Esmailler une cornaline	Enameling a cornaline									Esmailler;cornaline;fleur de forment;vin blanc	heure	forment							
104v	p104v_1	Contre la galle des chiens	Contre la galle des chiens	Against dogs' mange		CONTAINS FIGURE			chiens;chiens communs				staphisagrie;blanc dhuile doeufs;huile	demy ℥;℥;quarteron								
104v	p104v_2	Pour gect	Pour gect	For casting									cire;cire fondue;eau chaulde;ardille fort doulce;plomb;estaim							moule		
104v	p104v_3	Orfevre	Orfevre	Goldsmith									escailles dargent pur & dargent dore					Orfevre;archiers				
104v	p104v_4	Espinette jouant toute seule	Espinette jouant toute seule	Spinet playing by itself		CONTAINS FIGURE							plumes							horloge		Espinette;cistre;espinette
105r	p105r_1	Tortues	Tortues	Turtles					Tortues													
105r	p105r_2	Seicher couleurs	Seicher couleurs	Drying colors									noir a noircir;huile;verdegris									
105r	p105r_3	Painctre	Painctre	Painter									bois;toile					Painctre				
105r	p105r_4	Jardinier	Jardinier	Gardening		CONTAINS FIGURE	continued						brin de lin;filasse bien doulce	jours	lin					trancheplume bien tranchant;trancheplume;brin de lin;filasse bien doulce		
105v	p105r_4							continues		doigts				doigts;despuys la my may;jusques au commancement daougst;Au moys de Janvier	amendiers;mericotons;abricots;perces mericotons							
105v	p105v_1	Jardinier	Jardinier	Gardening					vers			jardin			armols							
105v	p105v_2	Fontanier	Fontanier	Fountain maker									plastre recuit;eau;stuc					Fontanier;mouleur				
105v	p105v_3	Prendre rossignols Voy le 15 foeillet cy apres	Prendre rossignols Voy le 15 foeillet cy aprés	Catching nightingales See the 15th folio after this.					rossignols;rossignol;vers			Le soir et le matin a la fraischeur vers les fontaines & lieulx ombrageulx		pas						chapeau;espingle;engin de petits bastons en croix		
