1 df,,17 del,,14 del
1 div,,1 df,,1 df
3 env,,1 div,,1 div
6 exp,,3 env,,3 env
59 lb,,6 exp,,15 fr
9 m,,59 lb,,9 m
29 ms,,9 m,,29 ms
1 pl,,29 ms,,1 pl
1 pn,,1 pl,,1 pn
2 pro,,1 pn,,2 pro
1 root,,2 pro,,1 root
25 wp,,1 root,,23 wp
,,24 wp,,
ms-xml/tc/tc_p018v_preTEI.xml,,ms-xml/tcn/tcn_p018v_preTEI.xml,,ms-xml/tl/tl_p018v_preTEI.xml
5 ab,,5 ab,,5 ab
5 al,,5 al,,5 al
1 comment,,1 comment,,2 comment
3 del,,3 del,,3 del
1 div,,1 div,,1 div
9 env,,8 env,,9 env
9 exp,,9 exp,,8 fr
73 lb,,73 lb,,8 m
9 m,,9 m,,32 ms
32 ms,,30 ms,,2 pro
2 pro,,2 pro,,1 root
1 root,,1 root,,3 tl
3 tl,,3 tl,,24 wp
23 wp,,23 wp,,
ms-xml/tc/tc_p019r_preTEI.xml,,ms-xml/tcn/tcn_p019r_preTEI.xml,,ms-xml/tl/tl_p019r_preTEI.xml
7 ab,,7 ab,,7 ab
2 add,,2 add,,2 add
2 comment,,3 comment,,3 comment
5 del,,2 corr,,5 del
1 div,,6 del,,1 div
8 exp,,1 div,,1 figure
1 figure,,9 exp,,10 fr
1 ill,,1 figure,,1 ill
71 lb,,6 fr,,20 m
21 m,,1 ill,,29 ms
27 ms,,71 lb,,1 root
1 root,,21 m,,4 tl
4 tl,,28 ms,,14 wp
15 wp,,1 root,,
,,4 tl,,
,,14 wp,,
ms-xml/tc/tc_p019v_preTEI.xml,,ms-xml/tcn/tcn_p019v_preTEI.xml,,ms-xml/tl/tl_p019v_preTEI.xml
3 ab,,3 ab,,3 ab
1 al,,1 al,,1 al
3 bp,,3 bp,,3 bp
5 del,,3 corr,,1 comment
3 div,,6 del,,1 corr
2 exp,,3 div,,6 del
4 figure,,4 exp,,3 div
3 head,,4 figure,,4 figure
23 lb,,3 head,,3 fr
13 m,,23 lb,,3 head
1 md,,13 m,,1 ill
1 ms,,1 md,,13 m
1 root,,1 ms,,1 md
11 tl,,1 root,,1 ms
,,11 tl,,1 root
,,,,11 tl
ms-xml/tc/tc_p020r_preTEI.xml,,ms-xml/tcn/tcn_p020r_preTEI.xml,,ms-xml/tl/tl_p020r_preTEI.xml
4 ab,,4 ab,,4 ab
2 cn,,2 cn,,2 cn
5 comment,,1 comment,,2 comment
1 del,,1 corr,,1 corr
2 df,,1 del,,1 del
2 div,,2 df,,2 df
2 env,,2 div,,2 div
14 exp,,2 env,,2 env
2 head,,14 exp,,2 fr
39 lb,,2 head,,2 head
27 m,,39 lb,,27 m
8 ms,,27 m,,8 ms
4 oc,,8 ms,,4 oc
3 pa,,4 oc,,3 pa
4 pl,,3 pa,,4 pl
3 pro,,4 pl,,3 pro
1 root,,3 pro,,1 root
12 tl,,1 root,,11 tl
1 wp,,12 tl,,
,,1 wp,,
ms-xml/tc/tc_p020v_preTEI.xml,,ms-xml/tcn/tcn_p020v_preTEI.xml,,ms-xml/tl/tl_p020v_preTEI.xml
6 ab,,6 ab,,6 ab
6 bp,,6 bp,,6 bp
2 comment,,1 corr,,1 corr
2 del,,2 del,,2 del
6 div,,6 div,,6 div
2 env,,2 env,,2 env
5 exp,,5 exp,,6 head
6 head,,6 head,,1 ill
1 ill,,1 ill,,18 m
20 lb,,20 lb,,8 md
18 m,,18 m,,2 ms
8 md,,8 md,,1 oc
2 ms,,2 ms,,6 pa
1 oc,,1 oc,,5 pl
5 pa,,5 pa,,1 root
5 pl,,5 pl,,2 tl
1 root,,1 root,,2 tmp
2 tl,,2 tl,,
2 tmp,,2 tmp,,
ms-xml/tc/tc_p021r_preTEI.xml,,ms-xml/tcn/tcn_p021r_preTEI.xml,,ms-xml/tl/tl_p021r_preTEI.xml
4 ab,,4 ab,,4 ab
1 comment,,3 comment,,3 comment
3 del,,1 corr,,3 del
2 div,,3 del,,2 div
4 exp,,2 div,,2 fr
2 head,,4 exp,,2 head
35 lb,,2 head,,6 m
6 m,,35 lb,,1 ms
1 ms,,8 m,,3 pro
3 pro,,1 ms,,1 root
1 root,,3 pro,,6 tl
6 tl,,1 root,,13 wp
15 wp,,6 tl,,
,,11 wp,,
ms-xml/tc/tc_p021v_preTEI.xml,,ms-xml/tcn/tcn_p021v_preTEI.xml,,ms-xml/tl/tl_p021v_preTEI.xml
3 ab,,3 ab,,3 ab
1 add,,1 add,,1 add
2 comment,,5 comment,,5 comment
6 del,,6 del,,6 del
3 div,,3 div,,3 div
4 exp,,4 exp,,2 fr
2 head,,2 head,,2 head
33 lb,,33 lb,,7 m
7 m,,7 m,,1 md
1 md,,1 md,,1 oc
2 pro,,1 oc,,2 pro
1 root,,2 pro,,1 root
7 tl,,1 root,,10 tl
10 wp,,8 tl,,9 wp
,,10 wp,,
